Sample number,Production area,Bed ID,Local authority,"Grid reference

Note 1             ",Sampling point,Date sample collected,"Alexandrium spp. 
cells L-1
(PSP)","Dinophysiaceae 
cells L-1
(DSP)","Prorocentrum lima 
cells L-1
(DSP)","Pseudo-nitzschia spp. 
cells L-1
(ASP) ","Ligulodinium polyedrum 
cells L-1
(Yessotoxin)","Protoceratium reticulatum 
cells L-1
(Yessotoxin) ","Prorocentrum cordatum 
cells L-1
(Venerupin) ",,,thresholds_reached
380/21,The Thames,B16BR,London PHA,TQ93798271,Phoenix,6/7/21,40.0,0.0,0.0,1240.0,ND,ND,ND,,,1
381/21,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,6/6/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
382/21,Bigbury upon Avon,B030J,South Hams DC,SX67114467,South Hexdown North,6/7/21,0.0,0.0,0.0,320.0,ND,ND,ND,,,0
383/21,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,6/7/21,0.0,0.0,0.0,3080.0,ND,ND,40,,,0
384/21,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,6/8/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
385/21,The Wash,B003V,Boston BC,TF44234098,Toft,6/7/21,0.0,0.0,0.0,15100.0,ND,ND,100,,,0
386/21,Poole,B54CI,"Bournemouth, Poole and Christchurch Council",SZ01818871,West Brownsea 1,6/8/21,0.0,0.0,0.0,52700.0,ND,ND,ND,,,0
387/21,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,6/7/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
388/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,6/8/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
389/21,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,6/8/21,0.0,0.0,0.0,960.0,ND,ND,ND,,,0
390/21,The Wash,B04AP,Kings Lynn & W Norfolk BC,TF65963701,Stubborn Sand,6/7/21,0.0,0.0,0.0,4700.0,ND,ND,ND,,,0
391/21,Porlock,B094D,Somerset West and Taunton Council,SS87114787,Porlock East,6/7/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
392/21,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,6/7/21,0.0,80.0,0.0,11560.0,ND,ND,ND,,,0
393/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,6/7/21,0.0,80.0,0.0,45440.0,ND,ND,ND,,,0
394/21,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,6/9/21,0.0,0.0,0.0,960.0,ND,ND,ND,,,0
395/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,6/9/21,0.0,0.0,0.0,3520.0,ND,ND,ND,,,0
396/21,Dee,B45AB,Flintshire CC,SJ17568056,Salisbury,6/9/21,0.0,0.0,0.0,52200.0,ND,ND,ND,,,0
397/21,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,6/9/21,0.0,0.0,0.0,400.0,ND,ND,ND,,,0
398/21,Dart,B028P,South Hams DC,SX87945350,Long Wood South,6/9/21,0.0,40.0,0.0,19240.0,ND,ND,200,,,0
399/21,Start Bay,B087I,South Hams DC,SX84724671,Off Strete,6/9/21,0.0,0.0,0.0,11000.0,ND,ND,ND,,,0
400/21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,6/9/21,0.0,0.0,0.0,13600.0,ND,ND,ND,,,0
401/21,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,6/9/21,40.0,0.0,0.0,19360.0,ND,ND,ND,,,1
402/21,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,6/9/21,0.0,0.0,0.0,0.0,ND,ND,240,,,0
403/21,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,6/10/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
404/21,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,6/14/21,0.0,0.0,0.0,720.0,ND,ND,ND,,,0
405/21,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,6/14/21,0.0,0.0,40.0,40.0,ND,ND,ND,,,0
406/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,6/14/21,0.0,40.0,0.0,560.0,ND,ND,ND,,,0
407/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,6/14/21,200.0,280.0,0.0,2400.0,ND,ND,ND,,,1
408/21,Portland,B25AM,Dorset Council,SY68707757,Site A,6/14/21,0.0,0.0,0.0,2720.0,ND,ND,ND,,,0
409/21,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,6/13/21,0.0,0.0,0.0,7200.0,ND,ND,ND,,,0
410/21,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,6/14/21,0.0,400.0,0.0,800.0,ND,ND,ND,,,1
411/21,Swale,B076P,Swale BC,TR01316497,The Causeway,6/14/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
412/21,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,6/14/21,0.0,40.0,0.0,1560.0,40,ND,ND,,,0
413/21,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,6/15/21,0.0,0.0,0.0,24900.0,ND,ND,ND,,,0
414/21,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,6/15/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
415/21,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,6/15/21,0.0,0.0,0.0,0.0,ND,ND,200,,,0
416/21,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,6/15/21,0.0,0.0,0.0,58600.0,ND,ND,300,,,0
417/21,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,6/15/21,0.0,0.0,0.0,753000.0,ND,ND,1000,,,1
418/21,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,6/15/21,0.0,0.0,0.0,1200.0,ND,ND,ND,,,0
419/21,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,6/15/21,0.0,0.0,0.0,6880.0,ND,ND,ND,,,0
420/21,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,6/16/21,0.0,0.0,0.0,2900.0,ND,ND,ND,,,0
421/21,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,6/16/21,0.0,0.0,0.0,3480.0,ND,ND,ND,,,0
422/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,6/16/21,0.0,0.0,0.0,2200.0,ND,ND,ND,,,0
423/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,6/16/21,0.0,80.0,0.0,1000.0,ND,ND,ND,,,0
424/21,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,6/16/21,40.0,0.0,0.0,118000.0,ND,ND,ND,,,1
425/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,6/15/21,0.0,160.0,0.0,5480.0,ND,ND,ND,,,1
426/21,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,6/15/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
428/21,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,6/21/21,0.0,0.0,0.0,480.0,ND,ND,ND,,,0
429/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,6/21/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
430/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,6/21/21,0.0,200.0,0.0,80.0,ND,ND,ND,,,1
431/21,Roach,B73AF,London PHA,TQ94909207,Paglesham,6/21/21,0.0,0.0,0.0,200.0,ND,ND,200,,,0
432/21,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,6/22/21,0.0,0.0,0.0,160.0,ND,ND,ND,,,0
433/21,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,6/21/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
434/21,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,6/22/21,0.0,0.0,0.0,7120.0,ND,ND,ND,,,0
435/21,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,6/20/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
436/21,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,6/22/21,0.0,80.0,0.0,9360.0,ND,ND,ND,,,0
437/21,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,6/23/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
438/21,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,6/23/21,0.0,0.0,0.0,400.0,ND,ND,ND,,,0
439/21,The Thames,B16BR,London PHA,TQ93798271,Phoenix,6/23/21,0.0,0.0,0.0,1000.0,ND,ND,ND,,,0
440/21,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,6/23/21,-1.0,-1.0,-1.0,-1.0,"Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment",,,0
441/21,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,6/23/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
442/21,Bigbury upon Avon,B030J,South Hams DC,SX67114467,South Hexdown North,6/23/21,40.0,0.0,0.0,160.0,ND,ND,ND,,,1
443/21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,6/23/21,0.0,0.0,0.0,12760.0,ND,ND,ND,,,0
444/21,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,6/23/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
445/21,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,6/23/21,0.0,0.0,0.0,1000.0,ND,ND,280000,,,0
446/21,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,6/24/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
447/21,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,6/23/21,0.0,0.0,0.0,1080.0,ND,ND,ND,,,0
448/21,Porlock,B094D,Somerset West and Taunton Council,SS87114787,Porlock East,6/24/21,0.0,0.0,0.0,400.0,ND,ND,ND,,,0
449/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,6/23/21,0.0,120.0,0.0,11320.0,ND,ND,ND,,,1
450/21,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,6/24/21,0.0,0.0,0.0,6480.0,ND,ND,ND,,,0
451/21,Dee,B45AB,Flintshire CC,SJ17568056,Salisbury,6/24/21,0.0,0.0,0.0,1200.0,ND,ND,ND,,,0
452/21,Burry Inlet,B038Y,Carmarthenshire CC,SS50209860,Machynys,6/28/21,0.0,40.0,0.0,0.0,ND,ND,ND,,,0
453/21,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,6/28/21,0.0,200.0,0.0,240.0,ND,ND,ND,,,1
454/21,Portland,B25AK,Dorset Council,SY68707757,Site A,6/28/21,0.0,0.0,0.0,109000.0,ND,ND,ND,,,0
455/21,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,6/29/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
456/21,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,6/29/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
457/21,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,6/29/21,0.0,0.0,0.0,9000.0,ND,ND,ND,,,0
458/21,Start Bay,B087I,South Hams DC,SX84724671,Off Strete,6/29/21,0.0,0.0,0.0,12000.0,ND,ND,ND,,,0
459/21,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,6/29/21,0.0,0.0,0.0,13400.0,ND,ND,ND,,,0
460/21,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,6/29/21,0.0,0.0,0.0,7680.0,ND,ND,ND,,,0
461/21,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,6/30/21,0.0,0.0,0.0,200.0,ND,ND,ND,,,0
462/21,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,6/30/21,200.0,160.0,0.0,240.0,ND,ND,ND,,,1
463/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,6/30/21,40.0,0.0,0.0,0.0,ND,ND,ND,,,1
464/21,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,6/30/21,200.0,400.0,0.0,4600.0,ND,ND,ND,,,1
465/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,6/30/21,40.0,800.0,0.0,2080.0,ND,ND,ND,,,1
466/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,6/30/21,40.0,400.0,0.0,720.0,ND,ND,ND,,,1
467/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,6/30/21,40.0,1360.0,0.0,1840.0,ND,ND,ND,,,1
468/21,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,6/29/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
469/21,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,6/30/21,0.0,200.0,0.0,0.0,ND,ND,1200,,,1
470/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,6/29/21,0.0,40.0,0.0,1840.0,ND,ND,ND,,,0
471/21,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,7/1/21,0.0,0.0,0.0,200.0,ND,ND,ND,,,0
472/21,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,7/5/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
473/21,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,7/5/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
474/21,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,7/4/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
475/21,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,7/5/21,0.0,0.0,0.0,0.0,ND,ND,1574000,,,0
476/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,7/6/21,0.0,0.0,0.0,300.0,ND,ND,ND,,,0
477/21,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,7/6/21,0.0,0.0,200.0,5200.0,ND,ND,ND,,,1
478/21,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,7/6/21,100.0,0.0,0.0,400.0,ND,ND,ND,,,1
479/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,7/5/21,0.0,0.0,0.0,5800.0,ND,ND,ND,,,0
480/21,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,7/7/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
482/21,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,7/7/21,0.0,400.0,0.0,0.0,ND,ND,ND,,,1
483/21,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,7/7/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
484/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,7/7/21,400.0,0.0,0.0,600.0,ND,ND,ND,,,1
485/21,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,7/7/21,0.0,240.0,0.0,2360.0,ND,ND,40,,,1
486/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,7/7/21,0.0,720.0,0.0,2000.0,ND,ND,ND,,,1
487/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,7/7/21,0.0,640.0,0.0,400.0,ND,ND,ND,,,1
488/21,Dart,B028P,South Hams DC,SX87945350,Long Wood South,7/7/21,0.0,0.0,0.0,7080.0,ND,ND,ND,,,0
489/21,Start Bay,B087I,South Hams DC,SX84724671,Off Strete,7/7/21,0.0,0.0,0.0,37080.0,ND,ND,ND,,,0
490/21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,7/7/21,200.0,0.0,0.0,7800.0,ND,ND,ND,,,1
491/21,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,7/7/21,0.0,0.0,0.0,6720.0,ND,ND,ND,,,0
492/21,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,7/7/21,0.0,40.0,0.0,7720.0,ND,ND,ND,,,0
494/21,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,7/7/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
495/21,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,7/7/21,0.0,0.0,0.0,5900.0,ND,ND,ND,,,0
496/21,Roach,B73AF,London PHA,TQ94909207,Paglesham,7/8/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
497/21,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,7/8/21,0.0,0.0,0.0,320.0,ND,ND,ND,,,0
498/21,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,7/8/21,0.0,0.0,0.0,2840.0,ND,ND,ND,,,0
499/21,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,7/12/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
500/21,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,7/12/21,0.0,0.0,0.0,1440.0,ND,ND,40,,,0
501/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,7/12/21,0.0,200.0,0.0,120.0,ND,ND,ND,,,1
502/21,Portland,B25AK,Dorset Council,SY68707757,Site A,7/12/21,0.0,40.0,40.0,2640.0,ND,40,40,,,0
503/21,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,7/12/21,0.0,0.0,0.0,360.0,ND,ND,ND,,,0
504/21,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,7/12/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
505/21,The Thames,B16BR,London PHA,TQ93798271,Phoenix,7/12/21,0.0,40.0,0.0,0.0,ND,ND,80,,,0
506/21,Porlock,B094D,Somerset West and Taunton Council,SS87114787,Porlock East,7/12/21,0.0,0.0,0.0,200.0,ND,ND,ND,,,0
507/21,Bigbury upon Avon,B030J,South Hams DC,SX67114467,South Hexdown North,7/12/21,0.0,80.0,0.0,0.0,ND,ND,ND,,,0
508/21,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,7/12/21,0.0,40.0,0.0,4520.0,ND,ND,ND,,,0
509/21,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,7/13/21,0.0,0.0,0.0,680.0,ND,ND,ND,,,0
510/21,The Wash,B003V,Boston BC,TF44234098,Toft,7/12/21,0.0,0.0,0.0,80.0,ND,ND,ND,,,0
511/21,Poole,B54CI,"Bournemouth, Poole and Christchurch Council",SZ01818871,West Brownsea 1,7/13/21,0.0,0.0,0.0,600.0,ND,ND,ND,,,0
512/21,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,7/13/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
513/21,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,7/13/21,0.0,0.0,0.0,3800.0,ND,ND,ND,,,0
514/21,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,7/13/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
515/21,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,7/13/21,40.0,0.0,0.0,0.0,ND,ND,ND,,,1
516/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,7/13/21,120.0,80.0,0.0,400.0,ND,ND,ND,,,1
517/21,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,7/13/21,0.0,0.0,0.0,1200.0,ND,ND,ND,,,0
518/21,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,7/13/21,0.0,0.0,0.0,800.0,ND,ND,ND,,,0
519/21,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,7/13/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
520/21,The Wash,B04AP,Kings Lynn & W Norfolk BC,TF65963701,Stubborn Sand,7/12/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
521/21,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,7/13/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
522/21,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,7/13/21,0.0,0.0,0.0,80.0,ND,ND,ND,,,0
523/21,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,7/13/21,40.0,40.0,0.0,1040.0,ND,ND,ND,,,1
524/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,7/12/21,0.0,40.0,0.0,5120.0,ND,ND,ND,,,0
525/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,7/14/21,0.0,280.0,0.0,2160.0,ND,ND,ND,,,1
526/21,Dee,B45AB,Flintshire CC,SJ17568056,Salisbury,7/14/21,0.0,0.0,0.0,12000.0,ND,ND,ND,,,0
527/21,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,7/13/21,0.0,0.0,0.0,4600.0,ND,ND,ND,,,0
528/21,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,7/14/21,0.0,0.0,0.0,640.0,ND,ND,ND,,,0
529/21,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,7/14/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
530/21,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,7/14/21,0.0,200.0,0.0,0.0,ND,ND,ND,,,1
531/21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,7/14/21,0.0,0.0,0.0,2400.0,ND,ND,ND,,,0
532/21,Swale,B076P,Swale BC,TR01316497,The Causeway,7/14/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
533/21,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,7/14/21,0.0,0.0,0.0,177000.0,ND,ND,ND,,,1
534/21,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,7/14/21,0.0,0.0,0.0,410000.0,ND,ND,ND,,,1
535/21,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,7/14/21,0.0,0.0,0.0,1600.0,ND,ND,ND,,,0
537/21,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,7/15/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
538/21,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,7/15/21,0.0,0.0,0.0,200.0,ND,ND,ND,,,0
539/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,7/19/21,0.0,0.0,0.0,6240.0,ND,ND,ND,,,0
540/21,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,7/19/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
541/21,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,7/19/21,0.0,0.0,0.0,10800.0,ND,ND,ND,,,0
542/21,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,7/20/21,500.0,0.0,0.0,200.0,ND,ND,100,,,1
543/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,7/20/21,200.0,0.0,0.0,200.0,ND,ND,ND,,,1
544/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,7/20/21,0.0,40.0,0.0,4520.0,ND,ND,ND,,,0
545/21,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,7/20/21,0.0,0.0,0.0,42200.0,ND,ND,ND,,,0
546/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,7/19/21,0.0,0.0,0.0,1000.0,ND,ND,ND,,,0
547/21,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,7/21/21,0.0,0.0,0.0,1800.0,ND,ND,ND,,,0
548/21,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,7/19/21,0.0,0.0,40.0,0.0,ND,ND,ND,,,0
549/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,7/21/21,0.0,680.0,0.0,2160.0,ND,ND,ND,,,1
550/21,Dart,B028B,South Hams DC,SX87415599,Waddeton,7/21/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
551/21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,7/21/21,0.0,0.0,0.0,2000.0,ND,ND,ND,,,0
552/21,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,7/21/21,0.0,0.0,0.0,700.0,ND,ND,ND,,,0
553/21,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,7/21/21,0.0,0.0,0.0,13440.0,ND,ND,ND,,,0
554/21,Roach,B73AF,London PHA,TQ94909207,Paglesham,7/22/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
555/21,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,7/22/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
556/21,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,7/22/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
557/21,The Thames,B16BR,London PHA,TQ93798271,Phoenix,7/22/21,0.0,40.0,0.0,0.0,ND,ND,ND,,,0
558/21,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,7/21/21,0.0,40.0,0.0,0.0,ND,ND,40,,,0
559/21,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,7/21/21,0.0,0.0,0.0,1960.0,ND,ND,ND,,,0
560/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,7/26/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
561/21,Portland,B25AK,Dorset Council,SY68707757,Site A,7/26/21,0.0,0.0,0.0,7000.0,ND,ND,ND,,,0
562/21,Porlock,B094D,Somerset West and Taunton Council,SS87114787,Porlock East,7/26/21,0.0,0.0,0.0,700.0,ND,ND,ND,,,0
563/21,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,7/26/21,0.0,0.0,0.0,9800.0,ND,ND,ND,,,0
564/21,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,7/26/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
565/21,Burry Inlet,B038Y,Carmarthenshire CC,SS50209860,Machynys,7/27/21,0.0,0.0,120.0,0.0,ND,ND,ND,,,1
566/21,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,7/27/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
567/21,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,7/27/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
568/21,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,7/26/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
569/21,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,7/26/21,0.0,0.0,0.0,1000.0,ND,ND,ND,,,0
